Asset,Scenario1,Scenario2,Scenario3,Scenario4,Scenario5,Scenario6
EURUSD,0.0000063,0.0000084,0.0000105,0.0000126,0.0000168,0.0000252
GBPUSD,0.000021525,0.0000287,0.000035875,0.00004305,0.0000574,0.0000861
AUDUSD,0.000019725,0.0000263,0.000032875,0.00003945,0.0000526,0.0000789
NZDUSD,0.00002115,0.0000282,0.00003525,0.0000423,0.0000564,0.0000846
JPYUSD,0.000013575,0.0000181,0.000022625,0.00002715,0.0000362,0.0000543
CADUSD,0.000024375,0.0000325,0.000040625,0.00004875,0.000065,0.0000975
CHFUSD,0.000024525,0.0000327,0.000040875,0.00004905,0.0000654,0.0000981
SEKUSD,0.00006195,0.0000826,0.00010325,0.0001239,0.0001652,0.0002478
NOKUSD,0.00007065,0.0000942,0.00011775,0.0001413,0.0001884,0.0002826
DKKUSD,0.000024075,0.0000321,0.000040125,0.00004815,0.0000642,0.0000963
ZARUSD,0.0003222,0.0004296,0.000537,0.0006444,0.0008592,0.0012888
RUBUSD,0.00014655,0.0001954,0.00024425,0.0002931,0.0003908,0.0005862
PLNUSD,0.000179025,0.0002387,0.000298375,0.00035805,0.0004774,0.0007161
MXNUSD,0.00020475,0.000273,0.00034125,0.0004095,0.000546,0.000819
CNYUSD,0.0000348,0.0000464,0.000058,0.0000696,0.0000928,0.0001392
KRWUSD,0.000225675,0.0003009,0.000376125,0.00045135,0.0006018,0.0009027
INRUSD,0.000090675,0.0001209,0.000151125,0.00018135,0.0002418,0.0003627
IDRUSD,0.000258375,0.0003445,0.000430625,0.00051675,0.000689,0.0010335
HUFUSD,0.000592275,0.0007897,0.000987125,0.00118455,0.0015794,0.0023691
COPUSD,0.000050025,0.0000667,0.000083375,0.00010005,0.0001334,0.0002001